file_names,dascot_routing_avg,dascot_map_time_avg,dascot_best_mapping,dascot_best_mapping_route_avg,similarity_routing_avg,similarity_best_mapping,similarity_best_mapping_route_avg,bootstrapped_routing_avg,bootstrapped_map_time_avg,bootstrapped_best_mapping,bootstrapped_best_mapping_route_avg,random_routing_avg,random_best_mapping,random_best_mapping_route_avg,qubit_numbers
quarl_suite_11.qasm,27.2,0.4359334588050842,"{""0"": 22, ""1"": 26, ""2"": 24, ""3"": 8, ""4"": 12, ""5"": 10}",26.0,28.4,"{""5"": 26, ""1"": 24, ""2"": 8, ""3"": 12, ""4"": 22, ""0"": 10}",26.0,27.866666666666667,6.559964690357447,"{""3"": 22, ""0"": 8, ""2"": 24, ""4"": 26, ""1"": 12, ""5"": 10}",25.8,28.52,"{""0"": 26, ""1"": 8, ""2"": 24, ""3"": 12, ""4"": 10, ""5"": 22}",26.6,6
quarl_suite_13.qasm,20.4,0.2026486799120903,"{""0"": 18, ""1"": 16, ""2"": 48, ""3"": 20, ""4"": 14, ""5"": 24, ""6"": 46, ""7"": 44, ""8"": 42, ""9"": 50, ""10"": 40, ""11"": 22}",17.6,20.76,"{""8"": 22, ""5"": 40, ""1"": 50, ""9"": 18, ""2"": 20, ""3"": 46, ""4"": 48, ""10"": 14, ""6"": 42, ""7"": 24, ""0"": 44, ""11"": 16}",19.0,19.16,3.0456924997270107,"{""0"": 44, ""3"": 24, ""6"": 18, ""8"": 46, ""9"": 14, ""2"": 16, ""4"": 22, ""10"": 20, ""1"": 48, ""5"": 40, ""7"": 50, ""11"": 42}",15.0,22.56,"{""0"": 16, ""1"": 18, ""2"": 48, ""3"": 14, ""4"": 46, ""5"": 50, ""6"": 44, ""7"": 42, ""8"": 24, ""9"": 22, ""10"": 20, ""11"": 40}",20.8,12
autobraid_23.qasm,16.56,0.2070474877953529,"{""0"": 84, ""1"": 42, ""2"": 76, ""3"": 28, ""4"": 74, ""5"": 70, ""6"": 26, ""7"": 24, ""8"": 34, ""9"": 30, ""10"": 72, ""11"": 38, ""12"": 82, ""13"": 44, ""14"": 32, ""15"": 36, ""16"": 90, ""17"": 78, ""18"": 40, ""19"": 80, ""20"": 88}",14.6,19.12,"{""8"": 30, ""5"": 32, ""1"": 34, ""9"": 36, ""2"": 28, ""3"": 26, ""4"": 24, ""10"": 72, ""6"": 74, ""7"": 70, ""0"": 76, ""12"": 38, ""17"": 78, ""14"": 86, ""11"": 80, ""16"": 90, ""19"": 88, ""20"": 84, ""13"": 42, ""18"": 40, ""15"": 82}",17.0,14.746666666666666,3.1177897304296494,"{""0"": 42, ""3"": 82, ""6"": 26, ""8"": 76, ""9"": 28, ""2"": 36, ""4"": 72, ""10"": 30, ""1"": 32, ""5"": 24, ""7"": 70, ""17"": 44, ""16"": 88, ""14"": 90, ""19"": 34, ""12"": 38, ""11"": 80, ""13"": 86, ""20"": 84, ""18"": 74, ""15"": 78}",11.6,18.56,"{""0"": 38, ""1"": 70, ""2"": 90, ""3"": 86, ""4"": 24, ""5"": 28, ""6"": 74, ""7"": 72, ""8"": 36, ""9"": 88, ""10"": 82, ""11"": 34, ""12"": 80, ""13"": 44, ""14"": 30, ""15"": 40, ""16"": 42, ""17"": 84, ""18"": 26, ""19"": 76, ""20"": 78}",17.4,22
autobraid_19.qasm,11.08,0.0469046674668788,"{""0"": 192, ""1"": 188, ""2"": 180, ""3"": 88, ""4"": 96, ""5"": 190, ""6"": 168, ""7"": 68, ""8"": 86, ""9"": 54, ""10"": 56, ""11"": 184, ""12"": 170, ""13"": 160, ""14"": 194, ""15"": 60, ""16"": 166, ""17"": 82, ""18"": 152, ""19"": 94, ""20"": 174, ""21"": 72, ""22"": 172, ""23"": 76, ""24"": 162, ""25"": 52, ""26"": 148, ""27"": 150, ""28"": 186, ""29"": 78, ""30"": 70, ""31"": 84, ""32"": 62, ""33"": 182, ""34"": 66, ""35"": 50, ""36"": 64, ""37"": 74, ""38"": 92, ""39"": 90, ""40"": 80, ""41"": 158, ""42"": 164, ""43"": 176, ""44"": 178, ""45"": 58, ""46"": 154}",9.6,17.6,"{""8"": 52, ""5"": 58, ""1"": 60, ""9"": 54, ""2"": 50, ""3"": 56, ""4"": 62, ""10"": 64, ""6"": 66, ""7"": 68, ""0"": 70, ""40"": 82, ""12"": 166, ""17"": 188, ""19"": 148, ""20"": 80, ""24"": 96, ""29"": 156, ""25"": 194, ""33"": 164, ""34"": 186, ""39"": 174, ""46"": 184, ""37"": 152, ""26"": 84, ""35"": 94, ""30"": 78, ""43"": 158, ""21"": 190, ""38"": 176, ""22"": 182, ""23"": 86, ""36"": 162, ""41"": 178, ""14"": 92, ""11"": 72, ""16"": 150, ""42"": 90, ""13"": 192, ""18"": 76, ""31"": 168, ""28"": 154, ""44"": 170, ""27"": 74, ""45"": 160, ""32"": 172, ""15"": 88}",14.6,12.293333333333331,0.6883814856410027,"{""0"": 190, ""3"": 66, ""6"": 186, ""8"": 94, ""9"": 166, ""2"": 96, ""4"": 172, ""10"": 52, ""1"": 192, ""5"": 60, ""7"": 168, ""36"": 178, ""26"": 84, ""32"": 70, ""45"": 76, ""28"": 90, ""43"": 72, ""39"": 58, ""42"": 188, ""44"": 86, ""40"": 152, ""27"": 92, ""25"": 170, ""12"": 176, ""38"": 164, ""24"": 184, ""22"": 154, ""20"": 82, ""31"": 62, ""34"": 54, ""17"": 56, ""41"": 80, ""11"": 160, ""33"": 156, ""35"": 148, ""37"": 194, ""15"": 162, ""29"": 74, ""23"": 174, ""46"": 180, ""14"": 50, ""19"": 158, ""13"": 150, ""21"": 64, ""30"": 182, ""18"": 68, ""16"": 78}",7.4,18.04,"{""0"": 172, ""1"": 94, ""2"": 160, ""3"": 96, ""4"": 194, ""5"": 54, ""6"": 76, ""7"": 52, ""8"": 188, ""9"": 88, ""10"": 170, ""11"": 70, ""12"": 92, ""13"": 78, ""14"": 184, ""15"": 152, ""16"": 150, ""17"": 164, ""18"": 192, ""19"": 148, ""20"": 186, ""21"": 190, ""22"": 162, ""23"": 80, ""24"": 58, ""25"": 178, ""26"": 74, ""27"": 50, ""28"": 60, ""29"": 176, ""30"": 66, ""31"": 154, ""32"": 62, ""33"": 174, ""34"": 158, ""35"": 168, ""36"": 156, ""37"": 68, ""38"": 182, ""39"": 180, ""40"": 84, ""41"": 56, ""42"": 86, ""43"": 72, ""44"": 64, ""45"": 90, ""46"": 166}",14.8,48
autobraid_5.qasm,20.0,0.1885486863553524,"{""0"": 16, ""1"": 14, ""2"": 32, ""3"": 34, ""4"": 28, ""5"": 30, ""6"": 12, ""7"": 10}",17.0,22.28,"{""5"": 28, ""1"": 30, ""2"": 32, ""3"": 16, ""4"": 12, ""6"": 34, ""7"": 10, ""0"": 14}",19.6,20.4,2.923933088779449,"{""3"": 34, ""6"": 12, ""0"": 32, ""2"": 16, ""4"": 28, ""1"": 30, ""5"": 14, ""7"": 10}",16.0,21.84,"{""0"": 28, ""1"": 10, ""2"": 16, ""3"": 14, ""4"": 30, ""5"": 34, ""6"": 32, ""7"": 12}",19.0,8
jku_suite_4.qasm,19.56,0.3181100629270076,"{""0"": 14, ""1"": 50, ""2"": 20, ""3"": 46, ""4"": 18, ""5"": 24, ""6"": 44, ""7"": 22, ""8"": 40, ""9"": 42, ""10"": 16}",18.2,20.16,"{""8"": 14, ""5"": 20, ""1"": 50, ""9"": 42, ""2"": 22, ""3"": 46, ""4"": 16, ""10"": 24, ""6"": 40, ""7"": 44, ""0"": 18}",19.2,18.186666666666667,4.783048328012228,"{""0"": 42, ""3"": 14, ""6"": 18, ""8"": 40, ""9"": 16, ""2"": 48, ""4"": 44, ""10"": 46, ""1"": 24, ""5"": 50, ""7"": 22}",14.0,20.92,"{""0"": 22, ""1"": 42, ""2"": 44, ""3"": 24, ""4"": 16, ""5"": 20, ""6"": 50, ""7"": 46, ""8"": 48, ""9"": 14, ""10"": 18}",17.4,12
autobraid_28.qasm,11.28,0.0803195297718048,"{""0"": 208, ""1"": 210, ""2"": 198, ""3"": 60, ""4"": 108, ""5"": 200, ""6"": 62, ""7"": 84, ""8"": 96, ""9"": 76, ""10"": 80, ""11"": 82, ""12"": 166, ""13"": 170, ""14"": 58, ""15"": 68, ""16"": 206, ""17"": 182, ""18"": 202, ""19"": 184, ""20"": 186, ""21"": 56, ""22"": 72, ""23"": 176, ""24"": 98, ""25"": 102, ""26"": 178, ""27"": 106, ""28"": 90, ""29"": 168, ""30"": 92, ""31"": 194, ""32"": 172, ""33"": 192, ""34"": 174, ""35"": 100, ""36"": 88, ""37"": 70, ""38"": 64, ""39"": 218, ""40"": 188, ""41"": 180, ""42"": 204, ""43"": 196, ""44"": 74, ""45"": 212, ""46"": 216, ""47"": 78, ""48"": 214, ""49"": 94, ""50"": 104, ""51"": 190, ""52"": 86}",10.0,16.72,"{""5"": 58, ""1"": 60, ""2"": 56, ""3"": 62, ""4"": 64, ""6"": 66, ""0"": 68, ""40"": 190, ""12"": 204, ""17"": 218, ""19"": 102, ""20"": 76, ""24"": 86, ""29"": 92, ""25"": 98, ""33"": 90, ""34"": 74, ""48"": 168, ""39"": 200, ""50"": 212, ""46"": 216, ""37"": 170, ""26"": 202, ""30"": 206, ""35"": 186, ""43"": 174, ""21"": 198, ""47"": 178, ""38"": 214, ""23"": 184, ""22"": 106, ""36"": 180, ""41"": 182, ""14"": 96, ""11"": 196, ""16"": 192, ""42"": 80, ""49"": 104, ""10"": 210, ""13"": 94, ""9"": 72, ""7"": 82, ""51"": 84, ""18"": 188, ""31"": 172, ""28"": 176, ""8"": 88, ""44"": 100, ""27"": 108, ""45"": 208, ""52"": 78, ""32"": 70, ""15"": 166}",16.0,10.946666666666667,1.210667997598648,"{""0"": 192, ""3"": 166, ""6"": 200, ""2"": 86, ""4"": 204, ""1"": 102, ""5"": 64, ""7"": 90, ""36"": 194, ""26"": 170, ""32"": 88, ""50"": 104, ""49"": 58, ""45"": 108, ""28"": 60, ""47"": 106, ""43"": 94, ""39"": 78, ""42"": 62, ""8"": 56, ""44"": 66, ""40"": 168, ""48"": 198, ""27"": 72, ""12"": 174, ""25"": 184, ""24"": 172, ""22"": 98, ""38"": 202, ""20"": 76, ""31"": 196, ""34"": 180, ""41"": 178, ""17"": 216, ""11"": 100, ""33"": 80, ""35"": 182, ""37"": 212, ""10"": 96, ""15"": 208, ""29"": 186, ""23"": 218, ""46"": 82, ""9"": 92, ""14"": 206, ""19"": 190, ""13"": 74, ""21"": 188, ""30"": 214, ""51"": 176, ""18"": 70, ""16"": 84, ""52"": 68}",8.2,18.12,"{""0"": 82, ""1"": 186, ""2"": 96, ""3"": 202, ""4"": 100, ""5"": 168, ""6"": 184, ""7"": 74, ""8"": 194, ""9"": 176, ""10"": 188, ""11"": 180, ""12"": 172, ""13"": 76, ""14"": 62, ""15"": 98, ""16"": 108, ""17"": 60, ""18"": 198, ""19"": 216, ""20"": 190, ""21"": 206, ""22"": 218, ""23"": 68, ""24"": 58, ""25"": 208, ""26"": 84, ""27"": 66, ""28"": 210, ""29"": 196, ""30"": 88, ""31"": 200, ""32"": 92, ""33"": 204, ""34"": 106, ""35"": 80, ""36"": 214, ""37"": 212, ""38"": 94, ""39"": 64, ""40"": 102, ""41"": 86, ""42"": 90, ""43"": 182, ""44"": 174, ""45"": 166, ""46"": 192, ""47"": 170, ""48"": 78, ""49"": 70, ""50"": 104, ""51"": 72, ""52"": 178}",14.0,54
quest_suite_12.qasm,16.24,0.1724756553769111,"{""0"": 14, ""1"": 22, ""2"": 16, ""3"": 24, ""4"": 44, ""5"": 46, ""6"": 42, ""7"": 20, ""8"": 40, ""9"": 48, ""10"": 50}",14.4,17.8,"{""8"": 48, ""5"": 46, ""1"": 22, ""6"": 40, ""2"": 50, ""3"": 42, ""4"": 14, ""10"": 20, ""9"": 16, ""7"": 44, ""0"": 24}",16.6,16.6,2.59435074031353,"{""3"": 20, ""6"": 42, ""8"": 44, ""0"": 16, ""9"": 50, ""4"": 14, ""2"": 18, ""10"": 46, ""1"": 24, ""5"": 48, ""7"": 22}",14.0,20.64,"{""0"": 44, ""1"": 16, ""2"": 48, ""3"": 42, ""4"": 20, ""5"": 50, ""6"": 18, ""7"": 24, ""8"": 14, ""9"": 22, ""10"": 40}",19.8,12
quest_suite_13.qasm,16.64,0.1733653537929058,"{""0"": 24, ""1"": 20, ""2"": 44, ""3"": 42, ""4"": 18, ""5"": 48, ""6"": 14, ""7"": 16, ""8"": 22, ""9"": 46, ""10"": 40}",14.0,19.52,"{""8"": 42, ""5"": 24, ""1"": 50, ""9"": 16, ""2"": 40, ""3"": 18, ""4"": 14, ""10"": 22, ""6"": 46, ""7"": 48, ""0"": 44}",19.0,16.506666666666668,2.5915933549404144,"{""6"": 16, ""8"": 40, ""0"": 50, ""3"": 22, ""9"": 20, ""4"": 44, ""2"": 48, ""10"": 46, ""1"": 42, ""5"": 14, ""7"": 18}",14.6,20.24,"{""0"": 24, ""1"": 20, ""2"": 44, ""3"": 18, ""4"": 46, ""5"": 40, ""6"": 42, ""7"": 22, ""8"": 50, ""9"": 16, ""10"": 14}",18.0,12
jku_suite_99.qasm,20.96,0.1880016446113586,"{""0"": 14, ""1"": 18, ""2"": 36, ""3"": 40, ""4"": 20, ""5"": 34, ""6"": 38, ""7"": 12, ""8"": 42}",20.4,23.92,"{""8"": 14, ""5"": 34, ""1"": 36, ""2"": 42, ""3"": 20, ""4"": 16, ""6"": 38, ""7"": 12, ""0"": 18}",22.6,21.093333333333334,3.3325762040913105,"{""0"": 14, ""3"": 42, ""8"": 12, ""6"": 40, ""2"": 36, ""4"": 34, ""1"": 18, ""5"": 20, ""7"": 16}",20.0,24.48,"{""0"": 36, ""1"": 12, ""2"": 16, ""3"": 34, ""4"": 38, ""5"": 20, ""6"": 14, ""7"": 18, ""8"": 42}",22.0,10
